Stockholm,Mumbai,Paris,London,Ireland,Seoul,Bahrain,Tokyo,Sao Paulo,Central,Hong Kong,Singapore,Sydney,Frankfurt,N.Virginia,Ohio,N.California,Oregon
Stockholm,4,140,32,37,48,288,155,249,234,127,239,199,312,25,113,123,172,174
Mumbai,137,6,114,117,130,164,40,131,308,204,101,62,150,124,190,200,236,228
Paris,37,111,5,11,20,277,123,250,202,97,198,168,282,12,83,92,142,158
London,38,116,11,5,14,253,127,215,197,91,205,175,277,19,81,89,142,142
Ireland,52,130,22,18,5,249,141,226,186,83,272,189,260,30,76,100,145,135
Seoul,303,162,282,257,247,5,216,46,301,192,76,105,166,283,194,192,145,130
Bahrain,173,63,134,146,150,216,4,200,337,240,155,92,185,130,197,207,277,252
Tokyo,263,147,252,231,215,43,178,6,281,160,66,76,117,253,162,161,119,105
Sao Paulo,238,306,200,198,184,299,349,274,7,126,349,344,314,209,121,132,193,184
Central,126,203,96,91,79,187,216,161,125,4,210,225,199,104,18,26,80,69
Hong Kong,244,101,200,215,276,45,147,63,336,219,3,45,131,217,221,216,170,153
Singapore,202,62,171,185,188,103,110,78,337,229,59,6,100,185,222,227,179,167
Sydney,314,150,283,279,260,154,192,118,326,208,130,95,6,286,201,197,141,143
Frankfurt,26,118,13,18,26,278,126,252,207,105,207,179,288,4,89,98,147,164
N.Virginia,112,189,82,82,75,192,203,164,126,18,218,222,202,91,5,16,66,80
Ohio,126,200,95,94,104,193,214,165,135,32,213,228,197,105,18,5,56,66
N.California,176,233,143,144,146,139,257,115,194,81,158,178,142,150,63,55,6,27
Oregon,180,224,159,139,131,127,256,103,183,71,153,167,142,165,77,59,27,5
